,えび,かに,小麦,そば,卵,乳,落花生,くるみ,"アーモンド",あわび,いか,いくら,オレンジ,"カシューナッツ","キウイフルーツ",牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),"糖質(g)","食物繊維(g)",食塩相当量(g)
ホットコーヒー（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,10,0.5,0.0,1.6,—,ー,0.0
カフェラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,59,3.1,3.1,4.5,—,ー,0.1
カフェラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,78,4.1,4.1,6.0,—,ー,0.2
天空の抹茶Ⓡ  大人ラテ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.9,4.6,6.8,6.0,0.8,0.2
強焙煎ほうじ茶  大人ラテ,▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.8,4.6,7.0,6.0,1.0,0.2
天空の抹茶Ⓡ,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,4,0.3,0.1,0.4,0.0,0.4,0.0
強焙煎ほうじ茶,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,4,0.3,0.1,0.5,0.0,0.5,0.0
ダージリンティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,0,0.0,0.0,0.0,0.0,0.0,0.0
ホットピーチティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,31,0.2,0.0,8.0,—,ー,0.0
コールドドリンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
